????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
?? ??????? ??,1396/10/30,31,26,61,18,58,90,90,,1,,,,
?? ??????? ??,1396/11/01,38,22,69,12,54,83,83,,1,,,,
?? ??????? ??,1396/11/02,44,18,88,15,68,110,110,,,1,,,
?? ??????? ??,1396/11/03,45,11,85,25,86,138,138,,,1,,,
?? ??????? ??,1396/11/04,33,19,76,16,76,113,113,,,1,,,
?? ??????? ??,1396/11/05,41,25,66,14,76,104,104,,,1,,,
?? ??????? ??,1396/11/06,33,32,58,16,75,103,103,,,1,,,
?? ??????? ??,1396/11/07,30,26,51,12,60,81,81,,1,,,,
?? ??????? ??,1396/11/08,32,12,48,13,30,56,56,,1,,,,
?? ??????? ??,1396/11/09,30,11,50,18,23,52,52,,1,,,,
?? ??????? ??,1396/11/10,36,19,66,15,56,114,114,,,1,,,
?? ??????? ??,1396/11/11,33,21,65,18,66,136,136,,,1,,,
?? ??????? ??,1396/11/12,47,21,93,18,83,145,145,,,1,,,
?? ??????? ??,1396/11/13,40,20,89,18,78,139,139,,,1,,,
?? ??????? ??,1396/11/14,44,25,84,18,72,122,122,,,1,,,
?? ??????? ??,1396/11/15,48,23,93,22,94,144,144,,,1,,,
?? ??????? ??,1396/11/16,50,18,97,20,107,158,158,,,,1,,
?? ??????? ??,1396/11/17,57,14,100,23,127,177,177,,,,1,,
?? ??????? ??,1396/11/18,50,23,95,23,125,175,175,,,,1,,
?? ??????? ??,1396/11/19,28,27,82,17,73,115,115,,,1,,,
?? ??????? ??,1396/11/20,28,22,58,13,65,108,108,,,1,,,
?? ??????? ??,1396/11/21,28,28,55,14,67,114,114,,,1,,,
?? ??????? ??,1396/11/22,29,27,60,14,68,109,109,,,1,,,
?? ??????? ??,1396/11/23,40,34,65,14,71,112,112,,,1,,,
?? ??????? ??,1396/11/24,45,11,78,15,68,115,115,,,1,,,
?? ??????? ??,1396/11/25,33,20,57,12,51,87,87,,1,,,,
?? ??????? ??,1396/11/26,28,27,58,12,38,46,46,1,,,,,
?? ??????? ??,1396/11/27,40,19,69,15,75,104,104,,,1,,,
?? ??????? ??,1396/11/28,26,18,49,12,46,69,69,,1,,,,
?? ??????? ??,1396/11/29,52,8,68,15,69,114,114,,,1,,,
?? ??????? ??,1396/11/30,40,18,67,11,59,80,80,,1,,,,
?? ??????? ??,1396/12/01,33,24,52,11,53,73,73,,1,,,,
?? ??????? ??,1396/12/02,34,30,63,12,51,80,80,,1,,,,
?? ??????? ??,1396/12/03,41,19,67,11,64,102,102,,,1,,,
?? ??????? ??,1396/12/04,26,26,54,10,43,79,79,,1,,,,
?? ??????? ??,1396/12/05,31,28,47,13,41,65,65,,1,,,,
?? ??????? ??,1396/12/06,27,20,47,11,23,39,39,1,,,,,
?? ??????? ??,1396/12/07,30,20,51,13,46,65,65,,1,,,,
?? ??????? ??,1396/12/08,31,25,51,13,45,58,58,,1,,,,
?? ??????? ??,1396/12/09,38,18,64,14,58,90,90,,1,,,,
?? ??????? ??,1396/12/10,33,29,67,10,56,82,82,,1,,,,
?? ??????? ??,1396/12/11,32,30,50,10,42,66,66,,1,,,,
?? ??????? ??,1396/12/12,27,35,49,12,44,63,63,,1,,,,
?? ??????? ??,1396/12/13,29,30,50,13,57,67,67,,1,,,,
?? ??????? ??,1396/12/14,30,26,52,12,64,82,82,,1,,,,
?? ??????? ??,1396/12/15,38,29,55,14,67,90,90,,1,,,,
?? ??????? ??,1396/12/16,25,27,45,12,56,72,72,,1,,,,
?? ??????? ??,1396/12/17,43,29,61,13,80,111,111,,,1,,,
?? ??????? ??,1396/12/18,36,31,56,13,73,96,96,,1,,,,
?? ??????? ??,1396/12/19,26,33,43,11,76,88,88,,1,,,,
?? ??????? ??,1396/12/20,35,34,57,13,74,86,86,,1,,,,
?? ??????? ??,1396/12/21,30,29,57,15,91,114,114,,,1,,,
?? ??????? ??,1396/12/22,28,36,51,11,53,59,59,,1,,,,
?? ??????? ??,1396/12/23,36,31,57,16,77,143,143,,,1,,,
?? ??????? ??,1396/12/24,41,33,70,15,61,97,97,,1,,,,
?? ??????? ??,1396/12/25,43,30,54,14,66,87,87,,1,,,,
?? ??????? ??,1396/12/26,27,37,44,11,53,62,62,,1,,,,
?? ??????? ??,1396/12/27,30,30,47,11,43,62,62,,1,,,,
?? ??????? ??,1396/12/28,34,36,69,14,49,73,73,,1,,,,
?? ??????? ??,1396/12/29,54,41,75,18,56,98,98,,1,,,,
?? ??????? ??,1397/01/01,40,64,71,14,46,83,83,,1,,,,
?? ??????? ??,1397/01/02,29,37,48,11,62,73,73,,1,,,,
?? ??????? ??,1397/01/03,34,45,51,12,31,45,45,1,,,,,
?? ??????? ??,1397/01/04,33,37,52,12,77,103,103,,,1,,,
?? ??????? ??,1397/01/05,33,39,49,12,93,131,131,,,1,,,
?? ??????? ??,1397/01/06,30,36,51,11,64,92,92,,1,,,,
?? ??????? ??,1397/01/07,26,42,42,10,60,85,85,,1,,,,
?? ??????? ??,1397/01/08,42,39,62,13,62,87,87,,1,,,,
?? ??????? ??,1397/01/09,30,36,49,13,81,115,115,,,1,,,
?? ??????? ??,1397/01/10,39,41,51,16,66,104,104,,,1,,,
?? ??????? ??,1397/01/11,20,34,34,9,77,109,109,,,1,,,
?? ??????? ??,1397/01/12,26,43,45,11,45,56,56,,1,,,,
?? ??????? ??,1397/01/13,30,45,53,14,66,83,83,,1,,,,
?? ??????? ??,1397/01/14,34,54,61,13,60,85,85,,1,,,,
?? ??????? ??,1397/01/15,32,39,57,12,39,53,53,,1,,,,
?? ??????? ??,1397/01/16,22,42,40,13,41,49,49,1,,,,,
?? ??????? ??,1397/01/17,25,42,49,17,49,71,71,,1,,,,
?? ??????? ??,1397/01/18,21,55,42,15,49,67,67,,1,,,,
?? ??????? ??,1397/01/19,29,16,59,12,41,74,74,,1,,,,
?? ??????? ??,1397/01/20,26,43,54,17,46,79,79,,1,,,,
?? ??????? ??,1397/01/21,23,47,48,15,41,71,71,,1,,,,
?? ??????? ??,1397/01/22,20,40,47,12,33,44,44,1,,,,,
?? ??????? ??,1397/01/23,35,39,59,13,51,67,67,,1,,,,
?? ??????? ??,1397/01/24,27,31,62,13,58,78,78,,1,,,,
?? ??????? ??,1397/01/25,21,46,47,11,48,61,61,,1,,,,
?? ??????? ??,1397/01/26,21,44,47,10,32,51,51,,1,,,,
