????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
?? ??????? ??,1399/08/16,35,23,71,18,63,90,90,,1,,,,
?? ??????? ??,1399/08/17,38,20,77,22,61,91,91,,1,,,,
?? ??????? ??,1399/08/18,21,25,71,26,56,80,80,,1,,,,
?? ??????? ??,1399/08/19,31,14,46,21,45,68,68,,1,,,,
?? ??????? ??,1399/08/20,32,14,67,21,66,98,98,,1,,,,
?? ??????? ??,1399/08/21,32,13,76,16,49,99,99,,1,,,,
?? ??????? ??,1399/08/22,26,8,65,13,42,81,81,,1,,,,
?? ??????? ??,1399/08/23,20,8,48,14,37,76,76,,1,,,,
?? ??????? ??,1399/08/24,20,8,46,11,22,54,54,,1,,,,
?? ??????? ??,1399/08/25,22,12,50,15,39,82,82,,1,,,,
?? ??????? ??,1399/08/26,24,14,49,17,43,80,80,,1,,,,
?? ??????? ??,1399/08/27,22,11,53,20,43,76,76,,1,,,,
?? ??????? ??,1399/08/28,29,10,63,20,53,104,104,,,1,,,
?? ??????? ??,1399/08/29,23,12,56,26,45,89,89,,1,,,,
?? ??????? ??,1399/08/30,21,15,50,22,35,69,69,,1,,,,
?? ??????? ??,1399/09/01,25,14,50,19,30,69,69,,1,,,,
?? ??????? ??,1399/09/02,26,6,49,13,27,75,75,,1,,,,
?? ??????? ??,1399/09/03,24,5,50,45,43,87,87,,1,,,,
?? ??????? ??,1399/09/04,24,6,51,52,55,108,108,,,1,,,
?? ??????? ??,1399/09/05,21,8,53,34,56,115,115,,,1,,,
?? ??????? ??,1399/09/06,24,10,53,45,68,131,131,,,1,,,
?? ??????? ??,1399/09/07,25,8,57,47,68,123,123,,,1,,,
?? ??????? ??,1399/09/08,35,9,55,42,49,82,82,,1,,,,
?? ??????? ??,1399/09/09,24,5,55,36,47,79,79,,1,,,,
?? ??????? ??,1399/09/10,30,6,59,15,25,62,62,,1,,,,
?? ??????? ??,1399/09/11,37,9,75,28,60,108,108,,,1,,,
?? ??????? ??,1399/09/12,42,11,87,42,83,143,143,,,1,,,
?? ??????? ??,1399/09/13,27,8,96,43,81,146,146,,,1,,,
?? ??????? ??,1399/09/14,28,5,59,33,58,119,119,,,1,,,
?? ??????? ??,1399/09/15,30,12,57,60,60,114,114,,,1,,,
?? ??????? ??,1399/09/16,23,18,56,45,49,96,96,,1,,,,
?? ??????? ??,1399/09/17,24,9,50,13,21,60,60,,1,,,,
?? ??????? ??,1399/09/18,33,8,60,18,35,76,76,,1,,,,
?? ??????? ??,1399/09/19,35,7,70,29,62,114,114,,,1,,,
?? ??????? ??,1399/09/20,35,9,75,30,72,133,133,,,1,,,
